# In-browser weeb-3 throughput vs PEER COUNT, 2026-08-11. Natural experiment: identical c8 blocks of
# 12 cold references run continuously from page load, through peer buildup, to plateau.
# Block depth (12) and concurrency (8) are CONSTANT across blocks, so the ramp/drain bias that
# understates absolute KB/s is the same in every block and does NOT confound the peer comparison.
# ⛔ Peer count and time-since-node-start are confounded for blocks 0-1 only. Blocks 2-9 sit at a
# flat 82 peers and are within-condition replicates, which give the noise floor.
# ⛔ This node plateaued at 82 connected / 118 connecting, NOT the 200/0 of the other sittings.
# Compare against in-browser-concurrency-sweep-2026-08-11.tsv, whose c8 arm used the identical
# spec at 200 peers and read 268 KB/s.
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
# block 0: peers 22/178 -> 54/146, wall 6356ms, 12/12, 174 KB/s
# block 1: peers 54/146 -> 82/118, wall 5195ms, 12/12, 210 KB/s
# block 2: peers 82/118 -> 82/118, wall 4769ms, 12/12, 228 KB/s
# block 3: peers 82/118 -> 82/118, wall 5197ms, 12/12, 210 KB/s
# block 4: peers 82/118 -> 82/118, wall 5001ms, 12/12, 220 KB/s
# block 5: peers 82/118 -> 82/118, wall 5804ms, 12/12, 188 KB/s
# block 6: peers 82/118 -> 82/118, wall 4970ms, 12/12, 214 KB/s
# block 7: peers 82/118 -> 82/118, wall 4988ms, 12/12, 224 KB/s
# block 8: peers 82/118 -> 82/118, wall 3990ms, 12/12, 272 KB/s
# block 9: peers 82/118 -> 82/118, wall 5985ms, 12/12, 181 KB/s
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
8	0	a30ce485a9	7	2559	2552	95316	200	
8	0	3cc4f3c2ed	6	3393	3387	94376	200	
8	0	c18ef09edf	6	3395	3389	92684	200	
8	0	2f6dce7e7e	6	3395	3389	96820	200	
8	0	611141c04c	6	3399	3393	98324	200	
8	0	7d859a0922	6	3423	3417	96256	200	
8	0	e2d80d423d	6	3474	3468	93624	200	
8	0	831ebf92d1	2559	3757	1198	95316	200	
8	0	55ea54d873	7	4359	4352	91932	200	
8	0	ddfb257bc7	3393	4571	1178	90428	200	
8	0	3edab313f4	3395	5463	2068	93060	200	
8	0	704431b95b	3395	6361	2966	95316	200	
8	1	211f20ad35	6375	7368	993	92496	200	
8	1	fcfb2f6cf8	6376	8363	1987	93812	200	
8	1	0e56b87da6	6375	9392	3017	95692	200	
8	1	c4802c932f	6375	9394	3019	88736	200	
8	1	7f60b6b288	6375	10395	4020	94000	200	
8	1	3b569e6cae	6375	10395	4020	93436	200	
8	1	aaaad6584e	6376	10395	4019	96256	200	
8	1	093eef8e56	7368	10396	3028	89488	200	
8	1	3c4725669f	8363	10396	2033	92872	200	
8	1	4ba13cce83	6375	10573	4198	95128	200	
8	1	d8ffbbcf54	9392	10591	1199	90052	200	
8	1	4d7a1acc7b	9394	11570	2176	93812	200	
8	2	41eb3bc764	11591	12410	819	91556	200	
8	2	e525e27b7b	11591	13430	1839	95880	200	
8	2	eaac6b8729	11591	14418	2827	92496	200	
8	2	117e93c9d2	11591	15363	3772	95316	200	
8	2	bf6831c5a9	11591	15363	3772	93248	200	
8	2	4152a2792c	12410	15364	2954	88736	200	
8	2	64eb259ab5	11591	15364	3773	96256	200	
8	2	1ff2b03979	11591	15364	3773	89676	200	
8	2	b2ba2b95dc	11591	15554	3963	94940	200	
8	2	0299b684c6	14418	15763	1345	90052	200	
8	2	609ded9820	15363	16158	795	91556	200	
8	2	4e35fae940	13430	16359	2929	94000	200	
8	3	0af4820288	16365	17388	1023	92684	200	
8	3	27bbd6a6a8	16365	17575	1210	90240	200	
8	3	633914a3fe	16365	19364	2999	97384	200	
8	3	dadf3f6df0	16365	19366	3001	91744	200	
8	3	8512fb15b3	16365	19366	3001	89112	200	
8	3	a80ce20dc9	16365	19368	3003	85916	200	
8	3	72e12bf5fb	16365	19369	3004	92308	200	
8	3	6986f20fe3	16365	19376	3011	91180	200	
8	3	97f07fb206	17575	19383	1808	92872	200	
8	3	6806c90a04	17388	20385	2997	98136	200	
8	3	c4503db8ee	19366	21381	2015	96444	200	
8	3	d03a49915c	19364	21562	2198	98512	200	
8	4	d210bc87e6	21568	23370	1802	93812	200	
8	4	5e806750e5	21568	24359	2791	94000	200	
8	4	2e2bfd71e4	21569	24359	2790	90992	200	
8	4	dede8475fc	21568	24360	2792	94000	200	
8	4	ff98581b4d	21569	24364	2795	94940	200	
8	4	6171240aca	21568	24374	2806	91932	200	
8	4	407ad0d685	23370	24536	1166	96632	200	
8	4	d45d5b8844	21569	24605	3036	96256	200	
8	4	1a97a17aac	21568	24747	3179	98136	200	
8	4	26b6c3ebbc	24359	25560	1201	94188	200	
8	4	d1a2b9f78a	24360	26377	2017	93248	200	
8	4	c15664c954	24359	26569	2210	90804	200	
8	5	f53806cf58	26580	28572	1992	98324	200	
8	5	0db91cef2c	26580	29366	2786	94188	200	
8	5	0a3e53e758	26580	29376	2796	92684	200	
8	5	a2d49f26c3	26580	29376	2796	91556	200	
8	5	2086718d2a	28572	29755	1183	88548	200	
8	5	1c55ad9b1c	26580	30379	3799	87796	200	
8	5	1f7f51c842	26580	30379	3799	96068	200	
8	5	fe2f81e6eb	26580	30381	3801	97948	200	
8	5	18b4b894d1	29376	30533	1157	90052	200	
8	5	6f856fb773	26580	31368	4788	92496	200	
8	5	68ed343be1	29376	32382	3006	94564	200	
8	5	e7799ca894	29366	32383	3017	91744	200	
8	6	dc904312c7	32394	33382	988	87608	200	
8	6	13924be408	32394	33586	1192	94940	200	
8	6	921d7a0dc9	32394	34366	1972	92872	200	
8	6	9e54f3ec50	32394	34366	1972	86104	200	
8	6	822cbf8cd5	32394	34587	2193	92496	200	
8	6	bd7f2e4670	32394	35365	2971	92120	200	
8	6	f9a9592776	32394	35371	2977	94188	200	
8	6	2abf1fdb45	32394	35372	2978	89488	200	
8	6	d9c5319fde	34366	35541	1175	94752	200	
8	6	d682f35b47	33586	36370	2784	89864	200	
8	6	02c5fe6903	33382	36370	2988	87796	200	
8	6	98d1caa604	34366	37364	2998	86668	200	
8	7	d56c30e1b7	37382	38394	1012	93436	200	
8	7	3f10f435fa	37381	39389	2008	90804	200	
8	7	499011cedc	38394	39397	1003	95128	200	
8	7	658f6cc8a7	37381	40372	2991	96632	200	
8	7	3f69839607	37382	40387	3005	97008	200	
8	7	eaf95049b0	37381	40388	3007	96820	200	
8	7	e704351024	37381	40389	3008	93436	200	
8	7	ebfc2d2dda	37381	40391	3010	93248	200	
8	7	644ef44508	39389	41370	1981	94564	200	
8	7	a6d56e7025	39397	41400	2003	98136	200	
8	7	4d086c104e	40372	41559	1187	97572	200	
8	7	1b27ab84dd	37382	42369	4987	95128	200	
8	8	1277a1967f	42380	43395	1015	94000	200	
8	8	d3d43a6670	42379	44368	1989	90992	200	
8	8	c9cabb8b5a	42379	44546	2167	92120	200	
8	8	6680a4554f	42379	44758	2379	93624	200	
8	8	3e121aa65d	42379	45363	2984	89300	200	
8	8	8512b2f60b	42379	45368	2989	95692	200	
8	8	a79aa46848	42379	45368	2989	90428	200	
8	8	17e03917d5	42379	45526	3147	94188	200	
8	8	c937d9b9c3	44368	45548	1180	91180	200	
8	8	d97defa7f5	43395	46360	2965	97572	200	
8	8	fb3db04993	44546	46366	1820	94188	200	
8	8	2bf93d2220	44758	46369	1611	90052	200	
8	9	b5e8898a39	46376	48376	2000	94940	200	
8	9	085d7f7b41	46376	49365	2989	90428	200	
8	9	ad8c9df1b7	46375	49366	2991	95504	200	
8	9	dc614f11e9	46376	49372	2996	92872	200	
8	9	6720d11efe	46376	49374	2998	91368	200	
8	9	96f36f84be	46376	49377	3001	94188	200	
8	9	97e575d256	46376	49377	3001	89676	200	
8	9	ea2b44354c	48376	49553	1177	91744	200	
8	9	0537147128	46376	50365	3989	89300	200	
8	9	ac93c0de04	49372	50611	1239	90992	200	
8	9	1f5c4f2b70	49366	51565	2199	93060	200	
8	9	207f5c14bd	49365	52360	2995	93436	200	
